	term	discription	
180	관절천자: arthrocentesis	    진단과 치료의 목적으로 관절속에 들어 있는 관절액을 바늘로 뽑는 것.	
181	광견병: rabies	    보통 미친개에게 물림으로써 감염되는 특징적이고 심한 뇌염을 일으키는 바이러스 감염병 이다. 뇌의 병리학적 소견으로는 심한 부종과 혈관울혈을 보이고, 현미경상 광범위하고, 심한 신경세포의 변성이 있으며, 네그리(Negri)소체가 신경세포내에 나타나서 조직학적 특징을 나타낸다. 임상적으로 발열, 두통이 있으며, 진행되면 혼미와 조증(아주 기분이 좋은 상태로 계속 유지되는 것. 이 때는 잠도 줄어들고, 먹지 않아도 힘이 난다고 한다)이 번갈아 일어나다 혼수상태가 되어 결국 죽게 된다. 음식을 넘기는데 관여하는 근육이 수축하여 통증이 발생하여 물을 무서워하는 증상이 있어 공수병(hydrophobia)이라는 동의어를 가지고 있다.	
182	광대뼈: zygomatic bone	    얼굴볼부분의 돌출을 만드는 뼈이며 눈확의 아래 바깥쪽에 위치한다. 대략 마름모꼴이며 위턱뼈, 이마뼈 및 관자뼈의 광대뼈돌기에 끼어 있다. 관자돌기는 뒤쪽으로 돌출하여 관자뼈의 광대뼈돌기와 연결하며 광대뼈활을 만든다. 몸체는 4면이 있으며 아래쪽 내면은 위턱뼈의 광대뼈돌기와 봉합한다. 바깥쪽면에는 광대뼈얼굴구멍이 개구된다. 위쪽 내면은 눈확면이며 광대뼈눈확구멍이 개구된다. 후면은 옆머리면이며 광대뼈 옆머리구멍이 개구된다. 이들 3구멍은 몸체를 관통하는 광대뼈관에 의해 서로 연락되며 광대뼈신경이 지나간다. 	
183	광선각화중: actinic keratosis	    일광각화증, 노인성각화증 등으로 불리는 이 병은 태양에 노출되는 부위에 나타나는 1cm 이하의 홍반성 각화구진이다. 즉 붉은 색을 띠는 껍질이 일어나는 모양을 한 융기가 약간 있는 그리고 경계가 비교적 명확한 둥근 모양의 병터이다. 이 병은 대개 햇볕노출이나 피부의 색조와 상관있고 약 20%에서 편평세포암종의 발생이 있어 치료를 필요로 한다.	
184	광선민감화: photosensitization	    1. 빛을 조사했을 때 물리적-화학적 변화를 일으키는 현상. 사진필름은 빛의 조사를 받으면 잠상이 생기고, 광전지에 빛을 조사하면 기전력이 생기는 것은 그 예이다. 2. 태앙광선에 노출된 후 여러 가지 반응이 일어날 수 있는데 홍반, 두드러기, 홍반 발진, 물집, 비후된 비늘성 반점 등이 생기는 것이다. 일광두드러기는 수분 내에 일광 노출 부위에 발생하는데, 장시간 노출되면 어지러움, 실신, 호흡곤란 등의 전신 증상이 일어날 수 있다.	
185	광선요법: phototherapy	    1. 햇빛이나 인공적으로 만든 적외선, 자외선 따위의 빛을 쬐어 병을 치료하는 방법. 2. 빛을 쪼여서 신생아 황달을 치료하는 것이며, 특히 집속광원을 이용한다.	
186	광장공포증: agoraphobia	    넓은 장소에 혼자 있을 때 까닭 없이 두려움을 느끼는 증상. 광장이나 넓은 통로에 나가거나 그런 장소에 있게 되는 것을 두려워하는 신경증의 하나이다. 혼자 있는 것의 두려움, 도망가기 어렵거나 또는 도움을 청하기 곤란한 장소에 있는 두려움으로 특징적인 복합 공포증이다. 이러한 증상이 심하면 현실 상황의 많은 것을 피하고 싫어하게 되며 집에서 나갈 수 없게 되는 경우도 있다. 정신역동적으로는 강한 모자결함에 원인이 있다는 해석도 있다.	
187	괴사: necrosis	    세포가 죽는 것을 말한다. 원인은 어떤 외상일 수도 있고, 혹은 동맥이 좁아져서 피가 통하지 않아 죽게 되는 것일 수도 있다. 어떤 경우이든, 괴사된 조직이 체내에 있으면, 결국은 여러 합병증을 불러 일으키므로 제거되어야 한다.    괴저괴사: gangrenous necrosis    괴저괴사라는 용어는 보통 괴사라는 것과 크게 다른 것은 없으나 임상, 특히 외과에서 흔히 쓰고 있는 말이다. 이는 팔다리, 특히 다리에서 많이 생기는데 혈액공급이 소실되고 그 후에 세균감염을 받아서 생기는 병터이다. 만약 혈류공급의 차단에 의한 조직의 죽음이 주병변이고 이차적 세균의 감염이 적고, 있더라도 아주 미약해서 병터가 마르고 액체성분이 적을 경우에 이것을 건성괴저(dry gangrene)이라고 하고, 세균의 감염이 아주 많아서 죽은 조직이 분해가 되어서 액체성분이 괴저의 조직에 많이 있어서 보기에 습해 보이면 이것을 습성괴저(wet gangrene)이라고 한다.	
188	괴저: gangrene	    상당히 많은 양의 조직이 죽은 부위를 이르는 말. 대개 혈류의 차단에 의해서 조직이 죽고 이 죽은 조직에 이차적으로 세균이 감염되어 있을 경우를 말한다.	
189	괴혈병: scurvy	    비타민 C의 결핍으로 생기는 병. 음식물 속의 비타민 C부족, 창자관의 흡수장애, 세균감염으로 인한 체내 수요량의 앙진 등이 원인으로 발병한다. 증상의 특징은 출혈과 뼈의 변질이며, 서서히 나타난다. 초기에는 전신의 권태와 무력감, 식욕부진, 류마티스같은 동통, 출혈성 소인이 인정된다. 이어서 구강점막-피하-근육-골막하-내장 등에 출혈로 인한 혈종이 나타난다. 중증은 고도의 빈혈-카켁시아에 빠진다. 생후 6개월 이후의 인공영양아에서 주로 볼 수 있는 유아괴혈병은 성인의 경우와 다소 달라서, 이것을 기재한 독일 및 영국 의사의 이름을 따서 특히 묄러-발로병(Moller-Barlow disease)이라 부른다. 체중의 증가도 정지되고 영양상태도 불량해진다. 치료는 비타민 C를 대량 투여한다.     	
190	교감신경계: sympathetic nervous system	    자율신경계의 일종으로 내장기능을 주로 항진시켜 활동을 증가시키는 기능을 가진다. 자율신경계의 다른 계열인 부교감신경계는 반대로 내장기능을 억제시켜 에너지를 비축하는 기능을 가진다. 자율신경계의 해부학적 특성은 신경이 중추신경계에서 나와 목표장기에 도달하기 전에 한번의 시냅스(synapse)를 이룬다는 점이며, 따라서 자율신경계는 두 개의 신경(시냅스를 이루기 전의 절전신경과 이룬 후의 절후신경)으로 구성된다. 자율신경계중 교감신경계는 중추신경계 즉 척수 부근의 교감신경절(sympathetic ganglion)에서 시냅스가 일어나고, 부교감 신경계는 중추신경계에서 멀리 떨어진 목표 장기부근의 신경절(ganglion)에서 시냅스가 일어나는 점이 다르다.	
191	교정술: revision	    1. 몸의 자세를 바로잡기 위한 체조. 2. 기계적 작용을 응용하여 인체의 관절 계통의 운동 장애나 기형을 수술하지 않고 바로잡는 방법.	
192	교환수혈: exchange transfusion	    한쪽으로는 피를 뽑아내면서 다른 쪽으로는 같은 양의 피를 넣어 온몸의 피를 갈아 넣는 수혈방법. 갓난아이의 용혈병의 치료법으로 쓴다.	
193	구강: oral cavity	    입을 벌여서 입속에서 볼 수 있는 공간으로 입천장, 편도, 목젖을 볼 수 있다.    	
194	구개편도, 입천장편도: palatine tonsils	    입천장에 있는 편도(일종의 림프절로써 주로 소아에서 활동이 왕성하며, 호흡기 등의 감염에 대해 예방하는 역할을 한다)을 말함. 입안에 존재하는 편도는 크게 4가지가 있는데, 이것은 옆의 그림과 같다.    이것의 모양이 마치 고리 같다고 하여 발견한 사람의 이름을 따서 발데이어 편도고리(Waldeyer's tonsillar ring)라        고 부른다.    	
195	구내염, 입안염: stomatitis	    구강점막의 염증으로, 종류로는 단순구내염, 궤양구내염, 아프타구내염 등이 있으며 이중 아프타구내염이 중요하다. 아프타구내염(aphthous stomatitis)은 구강내에 다양한 크기의 얕은 궤양이 생기며 동통, 작열감이 심하여 식사와 발음이 어렵다. 특수한 치료법은 없고 아세트산은액으로 부식시키는 것이 유효하다. 만약, 아프타구내염이 생식기 궤양, 포도막염(눈의 포도막에 발생하는 염증), 피부병 등과 동반할 때에는 베체트병을 의심해야 한다.	
196	구더기증: myiasis	    1. 쇠파리 따위의 애벌레(구더기)가 사람의 살갗이나 내장에 기생하여 생기는 병. 2. 쇠파리-쉬파리-금파리류의 암컷이, 털짐승이 머리나 꼬리로 쫓아낼 수 없는 몸 부위의 털 속에 알을 슬면 알에서 깬 구더기는 가죽을 뚫고 피하조직 속에서 자라게 된다. 번데기가 될 무렵 제3령충이 가죽을 뚫고 나옴으로써 구멍이 생기고 출혈하게 된다. 이 구멍에 세균이 침입해서 헐게 되면 털짐승에게 심한 피부병이 생긴다. 목축 국가에서는 그 피해가 커서 주요 가축병으로 취급된다.	
197	구루병: rachitis(=rickets)	    비타민D의 부족으로 발생한다. 주로 빛을 많이 쪼이지 못한 어린아이에게서 발생한다. 비타민D는 위창자관에서 칼슘의 흡수를 촉진하고, 오줌으로 칼슘의 분비를 감소시켜, 혈중칼슘농도와 인산염의 농도를 증가시키는 것으로 알려져 있다. 따라서 이것이 부족할 경우 전반적인 뼈의 성장장애로 키가 크지 않고, 구부러진 골격과 쉽게 부서지는 골격을 가지게 된다. 치료는 비타민D의 공급이다.	
198	구순열, 입술갈림증: cleft lip	    입술사이가 갈라져 있는 것을 지칭 흔히 일반인들이 말하는 “언챙이”를 의미한다. 대개 남아에서 흔하며, 유전적인 요소도 있는 것으로 보인다. 우리나라에서는 약 700명 중의 1명(입천장갈림증을 포함하여)꼴로 생긴다.	
199	구아닌: guanine	    DNA나 RNA의 구성요소로 염기 중의 하나.	
200	구역: nausea	    음식물이 식도를 거쳐서 입으로 역류하여 나올 것만 같은 기분을 말함. 실제로 음식이 나와서 토한 경우는 구토라 구별하여 부른다. 대개 이런 감정을 유발하는 부분은 뇌의 제4뇌실 윗부분에 있다.	
201	구진: papule	    1센티미터 이하의 작은 피부의 융기된 구조물을 구진이라 부름. 이 명명은 피부과에서 피부에 발생한 병터를 보다 구체적이고 체계적으로 서술하고자 정한 정의이다. 이보다 큰 피부의 융기물은 소결절(nodule) 혹은 종양(tumor)이라 부른다. 대개 바이러스 감염에 의한 경우가 많으며, 대표적인 경우가 사마귀(warts= verrucae)이다.	
202	구축: contracture	    1. 생활전위를 수반하지 않고 전파도 하지 않는 길게 지속되는 가역적인 근육수축을 말한다. 주로 막의 지속적 탈분극으로 인해 발생된다. 아세틸콜린, 카페인 등의 약물로 일으킬 수가 있다. 2. 반복되지 않는 자극에 의하여 근육이 지속적으로 오그라든 상태, 각종 알칼로이드나 마취약 따위에 의한 마취약 구축, 산에 의한 산 구축, 염기에 의한 염기 구축 따위가 있다.	
203	구충: hookworm	    선충류 원충목 구충과의 기생충을 통틀어 이르는 말. 사람과 그 밖의 포유류에 기생하는 흡혈성 선충이며 구충에는 사람에게 기생하는 아메리카구충(Necator americanus)-십이지장충(Ancylostoma duodenale)과 개-소-양 등에 기생하는 고유의 구충이 있다. 이탈리아의 밀라노에서 처음으로 구충이 발견되었을 때 때마침 십이지장에 기생하고 있었기 때문에 십이지장충이라 명명되었으나, 본래의 기생부위는 오히려 빈창자이고, 현재에는 구충이라 일컬어진다. 입부분에 이빨과 같은 흡착기를 가지고 있으면서 숙주의 장점막에 붙어 피를 빨아먹는 한 무리의 선충들을 가리킨다. 한국에는 개십이지장충(A. caninum)과 소구충(Bunostomum phlebotomus)-양구충(B. trigonocepbalum) 등이 있다. 인체에 기생하는 구충은 몸길이가 대개 1cm 정도이지만 십이지장충은 좀 길고 굵다. 또 십이지장충의 입에는 두 쌍의 이빨이 있고 아메리카 구충은 얇은 널빤지와 같은 모양의 치판이 있다. 대변과 함께 밖으로 나온 알은 적당한 온도-습도-산소가 있으면 부화하여 2회 탈피하여 필라리아형의 감염형 유충이 된다. 십이지장충은 입으로, 아메리카 구충은 피부로 감염된다. 감염된 지 4~7주가 지나면 작은창자 상부에서 성충이 되어 산란을 시작하고 알이 대변으로 나온다. 침입 부위에 가려움-작열감을 일으키고 홍반과 구진, 물집 등을 일으킨다. 십이지장충에 감염되면 채독증을 일으키며 발작성 기침 등의 특이한 증세를 보인다. 또 빈혈이 생기는 수도 있다. 감염을 예방하려면 인분을 위생적으로 처리하고 채소를 깨끗이 씻는 등 위생에 각별히 신경써야 한다.	
204	구토: emesis, vomiting	    위의 내용물이 식도와 입안을 거쳐 갑자기 입 밖으로 토해내는 현상. 구토는 설사처럼 위속의 유독물질 제거를 위한 생리현상이기도 하나, 그 밖에 정신적 자극, 귀의 평형감각을 담당하는 기관인 안뜰의 자극, 후두자극, 항암제 투여, 방사선 치료 등으로도 나타난다. 말초적 기관이 원인이 되는 경우가 아닌 중추신경계의 자극에 의해서도 구토가 유발 될 수가 있는데 이것의 원인으로는 구토중추와 화학수용기방아쇄대(chemoreceptor trigger zone)자극으로 나타난다. 화학수용기방아쇄는 도파민의 영향을 많이 받고 혈류가 풍부해서 도파민계통의 약물이 중추성작용을 나타내지 않는 용량으로도 작용을 나타낸다. 위의 날문이 수축하여 창자와 연결된 통로를 막고 들문이 열리면서 동시에 가로막 및 복벽근이 강하게 수축되면서 위의 내용물이 입으로 나오게 된다.	
205	구토제: emetics, emetic	    구토를 일어나게 하는 약물로서, 토제라고도 한다. 구토는 설사처럼 위속의 유독물질 제거를 위한 생리현상이기도 하나, 그밖에 정신적 자극, 귀의 평형감각을 담당하는 기관인 안뜰의 자극, 후두자극, 항암제 투여, 방사선 치료 등으로도 나타난다. 말초적 기관이 원인이 되는 경우가 아닌 중추신경계의 자극에 의해서도 구토가 유발될 수가 있는데 이것의 원인으로는 구토중추와 화학수용기 유발대(chemoreceptor trigger zone)자극으로 나타난다. CTZ는 도파민의 영향을 많이 받고 혈류가 풍부해서 도파민계통의 약물이 중추성 작용을 나타내지 않는 용량으로도 CTZ에 대한 작용을 나타낸다. 구토제는 주로 CTZ에 직접 작용하는 것과 위점막을 자극하여 구토를 유발하는 것 등이 있다. 부작용으로 구토를 일으키는 약물은 많으나 주된 작용으로 구토를 일으키는 약물로는 황산구리-황산아연-토금-아포모르핀 등이 있다. 급성 약물중독일 경우에는 약물을 복용한 후 오랜 시간이 지났거나 부식성 약물을 복용했을 때는 구토제를 쓰지 않아야 한다. 또 고혈압 환자에게도 사용하지 않는다.	
206	굳은 궤양: chancre	    매독에 감염되었을 경우에 최초로 나타나는 특징적인 병변. 매독균에 감염이 되고 난 뒤 약 3주후에 나타나며, 주로 성기부위의 궤양형태로 나타나며 궤양의 부위는 다른 주위와 구분이 뚜렷하며 대개 무통성인 경우가 많다. 또 발생한 후 약 5일이 지나면 저절로 나아 없어진다. 옛 용어: 경성하감	
207	굳은어깨, 동결견: frozen shoulder	    어깨의 관절낭과 말초관절 연골 사이의 유합성 염증이다. 점진적인 어깨동통, 경직, 운동 제한 등이 특징이며, 오십대에 어깨에 오는 병이라 하여 오십어깨 라고도 한다. 최근에는 40대에도 발생한다. 처음에 다쳤을 때는 수 일 내에 통증은 사라지나 손상된 힘줄에 염증이 생기면 인체 스스로 치료하려고 칼슘을 조직 내로 흡수한다. 그러면 다른 성분은 칼슘을 지방층과 충격흡수 부위로 밀어내면 이곳에 물이 흡수되어 조직이 붓고, 혈행이 막히면서 악화되어 점점 어깨의 움직임이 줄어들고 이런 과정은 1~2년이 걸리면서 악화된다. 종래의 치료방법은 붙은 어깨에 관절움직임을 증가하려는 운동 치료와 강하게 당겨 분리하려는 치료를 하여 간혹 낫는 경우도 있었다. 최근의 연구는 초기에는 안정을 하고 조금씩 움직임을 증가하는 치료법이 우수하다고 보고하고 있다.	
208	굴, 동굴: sinus	    빈 공간을 의미하는 말로서 일반적으로 뇌나 간내의 정맥혈이 흐르는 확장된 혈관이나, 머리뼈 내의 공기로 채워진 빈 공간을 의미함.        	
209	굴염, 동염: sinusitis	    바이러스, 세균, 진균 감염과 알레르기비염에 의해 생긴 코곁굴 염증으로, 대개 급성 바이러스성 기도 감염 후에 온다. 침범된 장소에 따라서 벌집뼈, 이마뼈, 위턱뼈 또는 나비뼈 굴염으로 알려져 있다. 위턱뼈굴염은 위턱 부위의 통증과 치통 그리고 이마 두통을, 벌집굴염은 양눈 사이의 통증과 이마 두통을, 나비뼈굴염은 이마부와 뒤통수부로 뻗치는 통증이 유발된다.	
210	굵은근육미세섬유, 미오신: myosin	    골격근 근육섬유 속의 근육원섬유는 굵은 잔섬유와 가는 잔섬유로 이루어지는데, 미오신은 굵은 잔섬유를 구성하는 근단백질의 40% 이상을 차지하는 글로불린 모양의 단백질이다. 거의 불용성에 가까운 젤을 형성하기 때문에 근육의 수축과 이완에 중요한 역할을 한다. 1942년에 센트죄르지가 발견하였다. 굵은 잔섬유는 직경 1~12nm, 길이 1.6μm로, 미오신분자가 중합되어 만들어졌으며, 두 개의 팽창된 머리부분을 갖고 있다. 근절(sarcomere: 근원섬유 중의 섬유 방향의 반복단위)의 굵은 잔섬유는 200~400개의 미오신 분자로 이루어져 있다. 분자량 50만, 길이 160nm, 지름 2nm의 성냥개비 모양의 구조이다. 분자량 21만 5000인 폴리펩티드 두개와 몇 개의 저분자량 단백질로 되어 있는데, 이것들이 올바르게 짝지어져야 비로소 생물활성이 나타나게 된다.	
211	권태감: malaise	    단순히 따분함만을 뜻하지는 않으며, 몸에 이상이 있는 것 같다는 불확실한 감정을 의미한다. 이유를 알 수 없는 발열 등에서 많이 동반되며, 단순히 환자의 감정상태만을 나타내므로 이것이 곧 병이 있다는 것을 의미하지는 않는다.	
212	궤양: ulcer	    염증성 괴사성조직(죽은 조직)의 탈락에 의해 기관이나, 조직의 표면이 국소적 결손 또는 함몰되는 것을 말함. 피부에서는 진피이하까지 탈락하게 되므로 흉터를 남긴다.	
213	궤양대장염: ulcerative colitis	    잘룩창자(colon)의 만성, 재발성 궤양으로 염증이 주로 점막 및 점막 하부에 일어나는 원인불명의 대장염이다. 호발부위는 구불창자 및 곧창자이며 임상적으로는 경련성의 복통과 곧창자출혈, 혈액, 고름 및 점액을 포함한 설사가 특징적이다. 진단은 임상상과 대변검사, 그밖에 곧창자구불창자보개로 하며, 치료는 Sulfasalazine, 스테로이드, 수술 등이다. 합병증으로는 치질, 고름집, 천공, 암전환 등이 있다.	
214	궤양성 종양: ulcerating tumor	    종양의 표면에 궤양이 발생하는 것. 대개, 매우 빨리 자라는 종양에서 혈류 공급이 종양세포의 자라는 속도를 감당하지 못해 종양중심부 조직이 괴사에 빠져 궤양을 형성하는 경우가 많다. 육안으로 보면 빨갛고, 열이나며, 지저분해 보인다.	
215	귀: ear	    귀는 오감의 하나인 청각을 받아들여 소리를 듣고, 회화를 이해하는 중요한 생활정보의 입력 장소이다. 신체의 평형감각을 담당하는 중요한 전정, 반고리관이 있어서 인간이 일상생활을 영위하는 데에 매우 중요한 기능을 하는 곳이다. 어떤 이유로 이들 기능이 떨어지면 난청이나 귀울음, 또는 현기증, 비틀거림 등의 평형장애가 나타나고, 심각한 정보장애가 일어나므로 충분한 주의가 필요하다.    귀는 크게 바깥귀, 가운데귀, 속귀의 3부분으로 나누는데 바깥귀라고 하는 것은 소리를 고막까지 전달하는 외이도부분을 말한다. 그리고 중이란 고막에서 내이 사이의 공간으로 여기에는 고막의 진동을 소리를 느끼는 달팽이(cochlea)까지 전달해 주는 작은 뼈인 3개의 귓속뼈(ossicle)이 있는 곳이다. 속귀란 소리를 직접 느끼는 기관인 달팽이, 평행감각을 담당하는 반고리관, 구형낭(saccule), 타원낭(utricle)이 있는 곳을 말한다.	
216	귀먹음, 난청: deafness	    청각이 저하 또는 상실된 상태. 원인과 정도는 여러 가지인데, 귀머거리는 그 정도가 가장 심한 상태이다. 청각의 전도경로에 장애가 있을 때 난청이 일어나고, 그 병터가 바깥귀길이나 가운데귀에 있는 것을 전음난청, 속귀에 있는 것을 감음난청이라 하여 구분한다. 또 병터의 자리를 명시하여 중이성 난청이나 미로성 난청 등으로 세분하기도 하며, 외상성 난청 등 원인별로 분류하기도 한다. 난청의 진단이나 예방-예후는 청력검사에 의하여 실시된다.	
217	귀밑샘, 이하선: parotid gland	    침샘의 하나. 침샘이란, 음식을 삼킬 때 입안으로 분비되어 음식물이 잘게 씹히는데 도움을 주며, 음식물을 소화하는데 이용되는 효소를 가지고 있는 침을 생산하는 곳을 말함. 크게 3가지의 침샘을 가지고 있으며, 위치와 모양은 옆의 그림과 같다.    	
218	귀바퀴: auricle	    귀의 겉부분. 세부적인 구조를 부르는 이름은 다음과 같다.    	
219	귀바퀴: 	  = 귓바퀴 	
220	귀울림, 이명: tinnitus	    윙윙거리며 귓속에서 나는 잡음. 이와 같은 소리는 때로는 환자보다도 타인에 의해서 들리는 경우도 있다. 청신경에 이상이 있는 경우가 많다.	
221	귀인두관: auditory tube	    코 안과 가운데 귀를 연결하는 관. 귀는 크게 바깥귀, 가운데귀, 속귀의 3부분으로 나누는데 바깥귀라고 하는 것은 소리를 고막까지 전달하는 바깥귓길 부분을 말한다. 그리고 가운데귀란 고막에서 속귀 사이의 공간으로, 여기에는 소리를 느끼는 달팽이까지 고막의 진동을 전달해 주는 작은 뼈인 3개의 귓속뼈가 있다. 속귀란 소리를 직접 느끼는 기관인 달팽이, 평형감각을 담당하는 반고리관, 구형낭(saccule), 타원낭(utricle)이 있는 곳을 말한다. 이 기관의 기능은 가운데귀와 외계의 압력 차이를 없애주는 역할을 한다. 그러나 중이염(중이에 염증이 생기는 것)의 통로로 이용될 수가 있다.	
222	귀지: cerumen	    귀지. 바깥귓길에서 발견 되는 노란색을 띠는 부스러지기 쉬운 물질. 바깥귓길에 존재하는 분비샘에서 분비한 분비물이 변하여 된 것이다.	
223	귀통증, 귀아픔: otalgia	    귀에 일어나는 통증. 바깥귀성-가운데귀성-구인두 이관성의 것이 있다. 바깥귀성 통증의 주원인은 귀종기에 의한 것으로서, 귀의 입구가 빨갛게 부어서 몹시 아프고, 귓바퀴를 건드리면 통증이 한층 심해진다. 그러나 곪아터져서 고름이 나오면 통증이 한결 덜하게 된다. 가운데귀성의 통증을 일으키는 주된 병은 급성중이염으로서, 발열-귀울림-난청이 일어나고, 귀가 막힌 것 같은 느낌을 받는다. 고막이 천공되어 고름이 나오거나 천공되지 않아도 염증이 가시면 통증이 차차 없어진다. 귀인두관성의 동통은 저인두관염에 의한 것으로서 귀 속이 욱신거리면서 아프지만 고막이나 청력에는 이상이 없다.	
224	귓바퀴: auricle, pinna	    겉귀의 드러난 가장자리 부분. 연골로 되어 쭈그러져 있으며, 밖으로 들려오는 소리를 귓구멍으로 들어가기 쉽게 한다.	
225	규소허파증: 	  = 규폐증 	
226	규폐증: silicosis	    허파먼지증(pneumoconiosis)의 일종으로 돌가루, 모래, 규소(silica)를 함유한 가루를 흡입해, 양 쪽 허파에 광범위한 결절성 섬유화 병터를 일으키는 병이다. 치료는 불가능하며, 많이 진행되면 호흡기능상실로 사망하기도 한다. 직업병으로 분류된다.	
227	균무리, 식물상: flora	    1. 어떤 특징 지역에 있든지 또는 그곳에 있는 것을 특징으로 하는 식물의 종류와 분포 상황. 2. 세계 각지의 식물상을 비교하여 독자적인 식물군을 포함한 특징직인 지역별로 분류한 것. 일반적으로 전북구, 구열대구, 신열대구, 오스트레일리아구, 케이프구, 남극구의 여섯구로 나눈다.	
228	균상식육종: mycosis fungoides	    드문 병으로 피부와 림프절을 침범하는 T림프구에 의한 일종의 악성종양이다. 대개 피부의 빨간 반점이 선행하게 되는데 점차 진행되며 말초혈액까지 침범하면 세자리증후군(Sezary's syndrome) 이라 부른다. 에이즈(AIDS) 환자에서 증가하는 경우가 많아 면역기능의 약화가 이 병에 관여하는 것으로 보인다. 치료는 화학요법을 시행한다.	
229	균주, 세포주, 주: strain	    유전자 구성이 같은 세포 집단. 인공적으로 배양한 하나의 세포로부터 분열 증식을 한 결과로 생긴다. 세포질이 필요로 하는 영양 성분을 알아내고 약에 대한 저항력 따위를 연구하는데 이용한다.	
230	그람염색: Gram stain	    미생물을 염색하는 방법 중의 하나. 1884년 덴마크의 의사 H.C.J. 그람(1853~ 1938)이 고안한 특수 염색법이다. 이 염색법을 사용하면 미생물은 양성균과 음성균의 2무리로 크게 나뉜다. 염색법은 균을 유리면에 바르고 가열 고정한다. 젠시안바이오렛, 크리스탈 바이오렛, 메틸바이오렛 등 파라로즈 아닐린계 색소의 어느 하나를 사용하여 우선 염색하고 이어서 루골액을 작용시킨 뒤, 에탄올 또는 아세톤으로 탈색한다. 이때 탈색되지 않고 보라색을 타나내는 것을 그람양성균이라 부르며, 포도알균-폐렴알균-사슬알균 등이 대표적인 예이다. 탈색되면 그람음성균이라 부르며, 대장균-녹농균 등이 있다. 최후에 사프라닌, 푹신 등 적색계의 색소액으로 후염색을 한다. 미생물의 감별에 중요한 염색법이며 염색성의 차이는 영양요구성, 화학요법제(항생물질 등)에 대한 감수성의 차이와도 관련되는 점이 많으므로 사용약제의 선택시에도 중요한 역할을 한다. 그람양성균과 음성균의 차이는 세균벽의 구조에 있는데, 양성균은 세포막의 바깥쪽 펩티드글리칸이라는 당단백질층의 두께가 20~80nm나 되고, 그램음성균의 펩티드글리칸 층은 2~3nm로 얇고, 다시 바깥쪽에 외막이라 부르는 층이 있다.	
231	그렁거림, 협착음: stridor	    호흡 잡음의 일종으로 상부기도의 폐색시 흡기시에 오히려 크게 들리는 잡음.	
232	그레이브스병: Graves' disease	    갑상샘의 비대와 갑상샘호르몬의 과다분비가 특징인 병이다. 이 병은 주로 25~50세에 호발하고 주로 여자에게서 많이 생긴다. 갑상샘 호르몬은 저장되어 있는 에너지를 소모하여 신체의 대사율을 높이는 호르몬이므로 입맛이 좋은 데도 불구하고 계속적인 체중의 감소, 그리고 축적된 에너지를 소모하여 열생많이 하여서 더위를 참기 힘들어하고 만성 쇠약감이나 근력의 약화를 보일 수가 있다. 그리고 눈에 특징적인 증상이 나타나는데 눈꺼풀이 비정상적으로 위로 올라가 있고, 눈이 아래의 물건을 주시할 경우에 눈꺼풀이 정상적으로는 처져야 하지만 갑상샘 호르몬이 과도하게 나올 경우에는 눈꺼풀이 처지지 않는다. 또 눈알이 앞쪽으로 돌출하는 안구돌출을 볼 수가 있다. 또 피부가 아주 부드럽고 물기가 많아서 축축하다. 그리고 특징적으로 하지의 앞쪽에 피부가 두꺼워져 국소적 융기를 이루는 것이 있는데 이것은 이 병의 특징적인 병터이다.	
233	근골격계: musculoskeletal System	    근육과 이들 근육이 붙어서 같이 활동을 수행하는 골격(뼈를 통털어 말함)을 함께 부르는 말. 따라서 여기의 근육은 모두 가로무늬근에 속하며, 수의적으로 움직일 수 있다.	
234	근시: myopia	    시각을 형성하는 눈의 촛점이 망막보다 앞쪽에 맞추어져 가까이 있는 물체는 보이지만, 멀리 있는 물체가 잘 보이지 않는 현상. 정도에 따라 심한 경우 고도근시(high myopia)라 부르며, 이 경우에 여러 가지 합병증의 발생가능성이 높으며, 선천적인 경우가 많다.	
235	근위부의, 몸쪽: proximal	    어떤 비교점(reference point)이나 기시점에 대하여 더 가까운 쪽에 있는 경우를 이르는 말로, 인체에서 사지의 경우는 몸통쪽에 가까운 쪽을 몸쪽 혹은 근위부라고 한다.	
236	근위축측삭경화중: amyotrophic laternal sclerosis	    사람이 근육 하나를 움직일때 사용하는 신경연결을 살펴보면 다음과 같다. 우선 대뇌에 있는 운동을 관장하는 곳인 운동겉질에서의 명령이 떨어지면 이것은 척수를 타고 계속해서 내려오게 된다. 그리고 척수에서 한번 신경세포를 바꾸어서 말초신경 근육에 가서 근육을 움직인다. 즉 대뇌에서 떨어진 명령이 신경세포 하나를 타고 척수까지 가고 척수에서 한 번 신경을 바꾸어 근육으로 간다.    척수에서 시작하여 근육까지 가는 신경 세포를 앞뿔세포라고 한다. 원인 미상인 이 병은 앞뿔세포의 소실에 의해서 그것의 지배를 받는 근육의 위축이 나타나는 것을 주증상으로 한다. 이 병에 특효가 있는 치료법은 아직 없다.	
237	근육: muscle	    의식의 조절여부에 따라 수의근(의식에 의해서 조절이 가능한 근육: 예를 들어 다리, 팔, 얼굴근육 등)과 불수의근(의식과 무관하게 조절하지 않아도 움직이는 근육: 예를 들어 심장근, 소화기관에 분포하는 근육 등)으로 나누어질 수 있으며, 또한 심장근이 따로 존재한다.	
238	근육계통: muscular system	    근육에 의해 이루어진 하나의 계통을 임의적으로 나누어 부른 말.	
